Random,Bubblesort,Gnomesort,Selectionsort,Insertionsort,Shellsort,Radixsortlsd,Quicksort
1,0.00090699,0.00043879,0.00093619,0.00043891,0.00035111,0.0063488,0.0002048
2,0.00046811,0.0035109,0.00061442,0.0017555,0.00157992,0.01939749,0.0004096
5,0.00140429,0.00456409,0.00175538,0.00453489,0.0086894,0.0217088,0.0006729
10,0.00690469,0.01170291,0.0058807,0.009216,0.0274725,0.02519039,0.00280861
20,0.02460519,0.06892991,0.01518449,0.02776501,0.06992461,0.06503868,0.00924522
30,0.0591872,0.07949169,0.03794651,0.0462848,0.11234751,0.08584049,0.01512598
50,0.13867901,0.14798271,0.0897317,0.09470549,0.23987941,0.14172171,0.03165619
75,0.3017291,0.32349639,0.24166419,0.18183321,0.43666309,0.1972517,0.0507612
100,0.54345171,0.53452831,0.31237861,0.28865112,0.6852319,0.2555321,0.0821834
150,1.3183567,1.2682101,0.6941553,0.6125279,1.18002889,0.53403089,0.1332371
250,3.62206541,3.2982765,1.92830998,1.467305,2.2522745,0.87897279,0.24886141
500,14.3522158,12.55848871,7.7181845,5.29615991,5.8909287,1.7088521,0.55179
750,32.67316499,28.4257279,17.14908311,11.72872649,10.10790912,2.62460122,0.97028441
1000,56.14413479,46.93594179,30.3575488,19.19734739,15.96963932,3.49497229,1.2879001
2500,355.97845151,294.2541868,188.73458989,117.41482578,68.82380659,11.0338982,3.5957339
5000,1441.13743631,1186.6593797,753.4044652,460.84031819,241.97901851,23.104085,7.65572051
7500,3282.6677379,2707.62421049,1695.09620769,1029.21716329,443.55410689,34.0564142,12.21029921
10000,5814.3788398,4806.8130851,3017.7491473,1867.9369637,904.24059101,48.93455671,17.1252385
